date,net,price
2018/1/9 0:00,1.0413,83.304
2018/1/10 0:00,1.0414,83.312
2018/1/11 0:00,1.0415,83.32
2018/1/12 0:00,1.0416,83.328
2018/1/15 0:00,1.0419,83.352
2018/1/16 0:00,1.042,83.36
2018/1/17 0:00,1.0421,83.368
2018/1/18 0:00,1.0421,83.368
2018/1/19 0:00,1.0422,83.376
2018/1/22 0:00,1.0424,83.392
2018/1/23 0:00,1.0424,83.392
2018/1/24 0:00,1.0425,83.4
2018/1/25 0:00,1.0426,83.408
2018/1/26 0:00,1.0427,83.416
2018/1/29 0:00,1.0429,83.432
2018/1/30 0:00,1.043,83.44
2018/1/31 0:00,1.0429,83.432
2018/2/1 0:00,1.043,83.44
2018/2/2 0:00,1.0431,83.448
2018/2/5 0:00,1.0433,83.464
2018/2/6 0:00,1.0434,83.472
2018/2/7 0:00,1.0435,83.48
2018/2/8 0:00,1.0436,83.488
2018/2/9 0:00,1.0436,83.488
2018/2/12 0:00,1.0438,83.504
2018/2/13 0:00,1.0439,83.512
2018/2/14 0:00,1.0439,83.512
2018/2/22 0:00,1.0444,83.552
2018/2/23 0:00,1.0445,83.56
2018/2/26 0:00,1.0447,83.576
2018/2/27 0:00,1.0447,83.576
2018/2/28 0:00,1.0448,83.584
2018/3/1 0:00,1.0449,83.592
2018/3/2 0:00,1.045,83.6
2018/3/5 0:00,1.0452,83.616
2018/3/6 0:00,1.0453,83.624
2018/3/7 0:00,1.0453,83.624
2018/3/8 0:00,1.0454,83.632
2018/3/9 0:00,1.0456,83.648
2018/3/12 0:00,1.0458,83.664
2018/3/13 0:00,1.0459,83.672
2018/3/14 0:00,1.0459,83.672
2018/3/15 0:00,1.046,83.68
2018/3/16 0:00,1.0461,83.688
2018/3/19 0:00,1.0463,83.704
2018/3/20 0:00,1.0464,83.712
2018/3/21 0:00,1.0465,83.72
2018/3/22 0:00,1.0465,83.72
2018/3/23 0:00,1.0466,83.728
2018/3/26 0:00,1.0468,83.744
2018/3/27 0:00,1.0469,83.752
2018/3/28 0:00,1.047,83.76
2018/3/29 0:00,1.0471,83.768
2018/3/30 0:00,1.0472,83.776
2018/4/2 0:00,1.0472,83.776
2018/4/3 0:00,1.0473,83.784
2018/4/4 0:00,1.0474,83.792
2018/4/9 0:00,1.0477,83.816
2018/4/10 0:00,1.0477,83.816
2018/4/11 0:00,1.0478,83.824
2018/4/12 0:00,1.048,83.84
2018/4/13 0:00,1.0481,83.848
2018/4/16 0:00,1.0483,83.864
2018/4/17 0:00,1.0484,83.872
2018/4/18 0:00,1.0484,83.872
2018/4/19 0:00,1.0485,83.88
2018/4/20 0:00,1.0486,83.888
2018/4/23 0:00,1.0487,83.896
2018/4/24 0:00,1.0488,83.904
2018/4/25 0:00,1.0489,83.912
2018/4/26 0:00,1.049,83.92
2018/4/27 0:00,1.049,83.92
2018/5/2 0:00,1.0493,83.944
2018/5/3 0:00,1.0493,83.944
2018/5/4 0:00,1.0494,83.952
2018/5/7 0:00,1.0495,83.96
2018/5/8 0:00,1.0496,83.968
2018/5/9 0:00,1.0497,83.976
2018/5/10 0:00,1.0498,83.984
2018/5/11 0:00,1.0499,83.992
2018/5/14 0:00,1.0501,84.008
2018/5/15 0:00,1.0502,84.016
2018/5/16 0:00,1.0503,84.024
2018/5/17 0:00,1.0504,84.032
2018/5/18 0:00,1.0505,84.04
2018/5/21 0:00,1.0507,84.056
2018/5/22 0:00,1.0508,84.064
2018/5/23 0:00,1.0509,84.072
2018/5/24 0:00,1.0509,84.072
2018/5/25 0:00,1.0509,84.072
2018/5/28 0:00,1.0512,84.096
2018/5/29 0:00,1.0512,84.096
2018/5/30 0:00,1.0513,84.104
2018/5/31 0:00,1.0514,84.112
2018/6/1 0:00,1.0515,84.12
2018/6/4 0:00,1.0517,84.136
2018/6/5 0:00,1.0518,84.144
2018/6/6 0:00,1.0518,84.144
2018/6/7 0:00,1.0519,84.152
2018/6/8 0:00,1.052,84.16
2018/6/11 0:00,1.0524,84.192
2018/6/12 0:00,1.0525,84.2
2018/6/13 0:00,1.0526,84.208
2018/6/14 0:00,1.0527,84.216
2018/6/15 0:00,1.0528,84.224
2018/6/19 0:00,1.0531,84.248
2018/6/20 0:00,1.0531,84.248
2018/6/21 0:00,1.0532,84.256
2018/6/22 0:00,1.0532,84.256
2018/6/25 0:00,1.0534,84.272
2018/6/26 0:00,1.0535,84.28
2018/6/27 0:00,1.0536,84.288
2018/6/28 0:00,1.0536,84.288
2018/6/29 0:00,1.0536,84.288
2018/7/2 0:00,1.0538,84.304
2018/7/3 0:00,1.0539,84.312
2018/7/4 0:00,1.0539,84.312
2018/7/5 0:00,1.054,84.32
2018/7/6 0:00,1.0541,84.328
2018/7/9 0:00,1.0543,84.344
2018/7/10 0:00,1.0544,84.352
2018/7/11 0:00,1.0545,84.36
2018/7/12 0:00,1.0546,84.368
2018/7/13 0:00,1.0546,84.368
2018/7/16 0:00,1.0549,84.392
2018/7/17 0:00,1.0549,84.392
2018/7/18 0:00,1.055,84.4
2018/7/19 0:00,1.0551,84.408
2018/7/20 0:00,1.0552,84.416
2018/7/23 0:00,1.0554,84.432
2018/7/24 0:00,1.0555,84.44
2018/7/25 0:00,1.0555,84.44
2018/7/26 0:00,1.0556,84.448
2018/7/27 0:00,1.0557,84.456
2018/7/30 0:00,1.0559,84.472
2018/7/31 0:00,1.056,84.48
2018/8/1 0:00,1.0561,84.488
2018/8/2 0:00,1.0561,84.488
2018/8/3 0:00,1.0562,84.496
2018/8/6 0:00,1.0564,84.512
2018/8/7 0:00,1.0565,84.52
2018/8/8 0:00,1.0566,84.528
2018/8/9 0:00,1.0567,84.536
2018/8/10 0:00,1.0568,84.544
2018/8/13 0:00,1.057,84.56
2018/8/14 0:00,1.0571,84.568
2018/8/15 0:00,1.0571,84.568
2018/8/16 0:00,1.0572,84.576
2018/8/17 0:00,1.0573,84.584
2018/8/20 0:00,1.0575,84.6
2018/8/21 0:00,1.0576,84.608
2018/8/22 0:00,1.0577,84.616
2018/8/23 0:00,1.0577,84.616
2018/8/24 0:00,1.0578,84.624
2018/8/27 0:00,1.0581,84.648
2018/8/28 0:00,1.0581,84.648
2018/8/29 0:00,1.0582,84.656
2018/8/30 0:00,1.0583,84.664
2018/8/31 0:00,1.0584,84.672
2018/9/3 0:00,1.0586,84.688
2018/9/4 0:00,1.0587,84.696
2018/9/5 0:00,1.0587,84.696
2018/9/6 0:00,1.0588,84.704
2018/9/7 0:00,1.0589,84.712
2018/9/10 0:00,1.0593,84.744
2018/9/11 0:00,1.0594,84.752
2018/9/12 0:00,1.0595,84.76
2018/9/13 0:00,1.0596,84.768
2018/9/14 0:00,1.0596,84.768
2018/9/17 0:00,1.0599,84.792
2018/9/18 0:00,1.06,84.8
2018/9/19 0:00,1.06,84.8
2018/9/20 0:00,1.0601,84.808
2018/9/21 0:00,1.0601,84.808
2018/9/26 0:00,1.0605,84.84
2018/9/27 0:00,1.0606,84.848
2018/9/28 0:00,1.0606,84.848
2018/10/8 0:00,1.0614,84.912
2018/10/9 0:00,1.0615,84.92
2018/10/10 0:00,1.0616,84.928
2018/10/11 0:00,1.0616,84.928
2018/10/12 0:00,1.0617,84.936
2018/10/15 0:00,1.0619,84.952
2018/10/16 0:00,1.062,84.96
2018/10/17 0:00,1.0621,84.968
2018/10/18 0:00,1.0622,84.976
2018/10/19 0:00,1.0622,84.976
2018/10/22 0:00,1.0625,85
2018/10/23 0:00,1.0625,85
2018/10/24 0:00,1.0626,85.008
2018/10/25 0:00,1.0627,85.016
2018/10/26 0:00,1.0628,85.024
2018/10/29 0:00,1.063,85.04
2018/10/30 0:00,1.0631,85.048
2018/10/31 0:00,1.0632,85.056
2018/11/1 0:00,1.0633,85.064
2018/11/2 0:00,1.0634,85.072
2018/11/5 0:00,1.0636,85.088
2018/11/6 0:00,1.0637,85.096
2018/11/7 0:00,1.0638,85.104
2018/11/8 0:00,1.0638,85.104
2018/11/9 0:00,1.0639,85.112
2018/11/12 0:00,1.0641,85.128
2018/11/13 0:00,1.0642,85.136
2018/11/14 0:00,1.0643,85.144
2018/11/15 0:00,1.0644,85.152
2018/11/16 0:00,1.0644,85.152
2018/11/19 0:00,1.0647,85.176
2018/11/20 0:00,1.0647,85.176
2018/11/21 0:00,1.0648,85.184
2018/11/22 0:00,1.065,85.2
2018/11/23 0:00,1.065,85.2
2018/11/26 0:00,1.0653,85.224
2018/11/27 0:00,1.0654,85.232
2018/11/28 0:00,1.0654,85.232
2018/11/29 0:00,1.0655,85.24
2018/11/30 0:00,1.0656,85.248
2018/12/3 0:00,1.0658,85.264
2018/12/4 0:00,1.0659,85.272
2018/12/5 0:00,1.066,85.28
2018/12/6 0:00,1.066,85.28
2018/12/7 0:00,1.0661,85.288
2018/12/10 0:00,1.0666,85.328
2018/12/11 0:00,1.0667,85.336
2018/12/12 0:00,1.0668,85.344
2018/12/13 0:00,1.0669,85.352
2018/12/14 0:00,1.067,85.36
2018/12/17 0:00,1.0672,85.376
2018/12/18 0:00,1.0673,85.384
2018/12/19 0:00,1.0673,85.384
2018/12/20 0:00,1.0673,85.384
2018/12/21 0:00,1.0674,85.392
2018/12/24 0:00,1.0676,85.408
2018/12/25 0:00,1.0677,85.416
2018/12/26 0:00,1.0677,85.416
2018/12/27 0:00,1.0678,85.424
2018/12/28 0:00,1.0679,85.432
2019/1/2 0:00,1.0687,85.496
2019/1/3 0:00,1.0688,85.504
2019/1/4 0:00,1.0689,85.512